"Time (s)","Illuminance (lx)"
3.500125000E-1,1.560000000E2
6.999953120E-1,1.570000000E2
1.050009375E0,1.560000000E2
1.399992187E0,1.770000000E2
1.750003125E0,1.900000000E2
2.100017187E0,1.880000000E2
2.449998437E0,1.280000000E2
2.800012500E0,3.620000000E2
3.149995312E0,4.660000000E2
3.500007812E0,4.690000000E2
3.849990625E0,4.610000000E2
4.200003125E0,3.490000000E2
4.550017187E0,3.710000000E2
4.899998437E0,3.920000000E2
5.250010937E0,3.050000000E2
5.599993750E0,2.760000000E2
5.950006250E0,2.630000000E2
6.299989062E0,1.560000000E2
6.650001562E0,3.460000000E2
7.000015625E0,2.630000000E2
7.349996875E0,2.080000000E2
7.700009375E0,3.500000000E1
8.049992187E0,1.710000000E2
8.400006250E0,2.340000000E2
8.750018750E0,7.800000000E1
9.100000000E0,7.600000000E1
9.450014062E0,3.900000000E1
9.799995312E0,6.800000000E1
1.015000938E1,4.200000000E1
1.049999062E1,1.030000000E2
1.085000312E1,1.100000000E2
1.120001719E1,1.160000000E2
1.154999844E1,1.080000000E2
1.190001250E1,8.200000000E1
1.224999531E1,6.000000000E1
1.260000781E1,6.000000000E1
1.294999063E1,6.590000000E2
1.330000313E1,7.830000000E2
1.365001562E1,7.270000000E2
1.399999844E1,7.400000000E2
1.435001094E1,4.370000000E2
1.469999375E1,1.600000000E2
1.505000625E1,1.200000000E1
1.539998906E1,0.000000000E0
1.575000156E1,0.000000000E0
1.610001562E1,2.000000000E0
1.644999688E1,0.000000000E0
1.680001094E1,6.000000000E0
1.714999219E1,0.000000000E0
1.750000469E1,0.000000000E0
1.785001875E1,1.000000000E0
1.820000000E1,2.000000000E0
1.855001406E1,0.000000000E0
1.889999531E1,0.000000000E0
1.925000938E1,0.000000000E0
1.959999219E1,0.000000000E0
1.995000313E1,1.000000000E0
2.030001719E1,0.000000000E0
2.064999844E1,0.000000000E0
2.100001250E1,0.000000000E0
2.134999531E1,2.000000000E0
2.170000781E1,1.000000000E0
2.204999063E1,0.000000000E0
2.240000312E1,0.000000000E0
2.275001719E1,0.000000000E0
2.309999844E1,0.000000000E0
2.345001094E1,0.000000000E0
2.379999375E1,0.000000000E0
2.415000625E1,0.000000000E0
2.449998906E1,0.000000000E0
2.485000156E1,1.000000000E0
2.520001563E1,0.000000000E0
2.554999688E1,0.000000000E0
2.590001094E1,0.000000000E0
2.624999219E1,0.000000000E0
2.660000469E1,2.000000000E0
2.695001875E1,0.000000000E0
2.730000000E1,0.000000000E0
2.765001406E1,0.000000000E0
2.799999531E1,0.000000000E0
2.835000938E1,0.000000000E0
2.869999219E1,0.000000000E0
2.905000313E1,0.000000000E0
2.940001719E1,0.000000000E0
2.975000000E1,0.000000000E0
3.010001250E1,1.000000000E0
3.044999531E1,0.000000000E0
3.080000781E1,0.000000000E0
3.114999062E1,0.000000000E0
3.150000313E1,2.000000000E0
3.185001719E1,0.000000000E0
3.219999844E1,0.000000000E0
3.255001094E1,0.000000000E0
3.289999375E1,0.000000000E0
3.325000625E1,0.000000000E0
3.359998906E1,0.000000000E0
3.395000156E1,0.000000000E0
3.430001562E1,0.000000000E0
3.464999688E1,0.000000000E0
3.500001094E1,1.000000000E0
3.534999219E1,0.000000000E0
3.570000625E1,0.000000000E0
3.605001875E1,0.000000000E0
3.640000000E1,0.000000000E0
3.675001406E1,0.000000000E0
3.709999531E1,0.000000000E0
3.745000938E1,0.000000000E0
3.779999219E1,0.000000000E0
3.815000313E1,0.000000000E0
3.850001875E1,0.000000000E0
3.885000000E1,1.000000000E0
3.920001250E1,0.000000000E0
3.954999531E1,0.000000000E0
3.990000781E1,1.000000000E0
4.024999062E1,1.000000000E0
4.060000312E1,0.000000000E0
4.095001719E1,0.000000000E0
4.129999844E1,0.000000000E0
4.165001094E1,0.000000000E0
4.199999375E1,0.000000000E0
4.235000625E1,0.000000000E0
4.269998906E1,0.000000000E0
4.305000156E1,0.000000000E0
4.340001562E1,2.000000000E0
4.374999688E1,0.000000000E0
4.410001094E1,0.000000000E0
4.444999219E1,0.000000000E0
4.480000625E1,1.000000000E0
4.515001875E1,0.000000000E0
4.550000000E1,0.000000000E0
4.585001406E1,0.000000000E0
4.619999531E1,0.000000000E0
4.655000938E1,1.000000000E0
4.689999219E1,0.000000000E0
4.725000469E1,0.000000000E0
4.760001875E1,0.000000000E0
4.795000000E1,0.000000000E0
4.830001250E1,2.000000000E0
4.864999531E1,0.000000000E0
4.900000781E1,0.000000000E0
4.934999063E1,0.000000000E0
4.970000312E1,2.000000000E0
5.005001719E1,2.000000000E0
5.039999844E1,0.000000000E0
5.075001094E1,0.000000000E0
5.109999375E1,0.000000000E0
5.145000625E1,0.000000000E0
5.179998906E1,0.000000000E0
5.215000156E1,0.000000000E0
5.250001562E1,0.000000000E0
5.284999688E1,0.000000000E0
5.320001094E1,0.000000000E0
5.354999375E1,0.000000000E0
5.390000625E1,0.000000000E0
5.425001875E1,0.000000000E0
5.460000000E1,1.000000000E0
5.495001406E1,0.000000000E0
5.529999531E1,0.000000000E0
